left
aX;aY;aZ;gX;gY;gZ
50;-184;928;-10.803;4.700;10.681
33;-169;923;-8.301;1.770;6.348
16;-162;937;-6.592;-916;2.930
25;-185;943;-7.874;-4.883;2.502
45;-199;943;-10.986;-8.911;3.357
55;-211;936;-12.146;-10.986;3.296
57;-235;942;-9.888;-10.315;1.465
68;-256;934;-6.165;-7.812;-1.709
70;-270;932;-1.038;-3.784;-5.432
66;-288;944;5.737;-183;-9.094
54;-318;959;12.451;1.343;-11.047
32;-308;954;17.578;671;-11.475
24;-259;951;19.409;-1.465;-9.277
9;-230;942;16.296;-3.906;-3.540
10;-216;917;8.728;-5.920;3.296
11;-214;901;3.235;-7.141;5.676
5;-213;900;2.014;-7.812;2.441
6;-203;925;1.648;-8.484;-2.441
17;-219;958;-122;-9.583;-5.127
29;-249;979;-4.150;-10.925;-6.165
42;-271;990;-7.690;-11.047;-4.822
51;-299;990;-9.338;-10.620;-3.967
46;-306;971;-8.667;-9.521;-4.822
27;-295;945;-5.249;-7.080;-6.104
12;-276;930;61;-3.662;-6.897
4;-260;919;4.700;-1.099;-7.385
0;-255;925;7.385;2.014;-5.798
-6;-241;930;6.104;3.784;-3.845
-7;-228;930;2.380;3.601;-2.686
-8;-227;934;-2.258;2.747;-1.221
-3;-227;941;-7.874;1.831;-61
10;-232;946;-14.160;610;854
28;-250;942;-17.822;-122;1.587
32;-270;939;-16.785;-427;366
40;-279;941;-12.207;-122;-1.160
48;-274;945;-4.395;0;-3.174
65;-283;974;4.761;244;-4.395
77;-275;965;12.817;183;-5.371
40;-254;929;17.212;-1.831;-6.531
15;-251;958;17.090;-61;-5.737
11;-234;937;14.526;305;-3.906
7;-216;945;10.559;-1.282;-3.174
3;-216;945;6.470;-2.319;-4.028
4;-216;934;2.563;-4.456;-6.897
12;-215;934;-610;-5.920;-10.254
;;;;;
213;-989;1.147;-363.525;4.272;461.121
94;-910;927;-383.545;43.945;489.624
-179;-695;489;-344.482;74.951;488.098
-189;-268;124;-230.530;106.018;428.467
-55;273;255;-63.049;125.732;317.810
-225;252;389;112.183;104.431;233.887
39;182;812;217.957;72.937;183.167
352;278;1.209;216.736;37.598;154.297
304;431;1.277;115.112;-17.334;152.222
163;630;1.175;-4.089;-48.218;149.170
115;578;1.066;-58.594;-35.400;135.193
88;490;916;-61.768;-9.155;97.229
-4;419;845;-45.227;16.968;53.772
-58;392;812;-28.442;36.560;31.494
-80;484;776;-14.343;40.710;16.052
-130;524;781;4.761;25.513;5.249
-172;479;757;23.865;977;-3.418
-163;521;726;32.898;-12.512;-18.677
-116;456;771;35.828;-13.245;-31.982
-80;372;807;35.767;-15.076;-40.771
-62;337;814;34.546;-24.231;-54.138
-45;279;819;37.231;-34.668;-67.749
-16;217;860;42.358;-42.175;-83.557
12;192;899;45.410;-46.509;-99.854
29;184;1.006;38.757;-43.396;-113.892
57;180;1.069;21.729;-34.729;-126.465
90;166;1.016;671;-28.320;-145.813
49;186;951;-13.794;-20.325;-177.429
116;78;1.058;-13.062;-1.343;-204.895
115;-25;1.043;6.287;3.784;-233.643
104;-72;1.238;33.447;4.272;-263.245
8;-159;1.147;49.011;-6.897;-270.203
-63;-172;1.045;47.974;-17.151;-257.019
-29;-158;1.100;41.321;-1.038;-236.206
53;-76;1.091;38.452;6.104;-213.989
62;-104;938;44.556;-7.385;-194.580
48;-121;857;56.335;-12.268;-189.697
35;-120;853;73.547;-4.700;-204.773
-43;-181;845;99.304;3.296;-234.497
-147;-265;893;128.662;7.996;-265.686
-208;-309;1.021;150.818;11.230;-277.771
-196;-397;1.136;158.813;10.803;-255.920
-125;-403;1.231;142.761;3.784;-201.172
-39;-439;1.158;100.586;-6.653;-123.352
73;-467;1.080;35.278;-10.864;-42.114
133;-531;1.019;-23.499;-2.930;13.367
111;-539;982;-51.941;6.775;29.785
99;-453;929;-49.377;10.071;14.526
100;-328;869;-23.437;8.484;-13.245
52;-261;811;9.644;5.310;-39.490
-24;-303;781;38.208;5.310;-58.167
-36;-301;788;49.194;11.658;-71.045
-25;-280;852;44.861;18.616;-73.792
-60;-278;918;33.630;15.198;-58.777
1;-252;1.087;16.663;2.563;-24.658
-75;-292;924;-6.409;-21.118;20.447
20;-379;904;-31.372;-28.198;53.589
89;-385;949;-46.326;-28.259;58.533
2;-337;925;-49.927;-28.564;53.955
-41;-336;1.016;-47.485;-17.212;56.030
60;-320;1.059;-39.856;-2.075;60.730
149;-270;1.000;-30.029;3.174;59.448
162;-255;986;-21.912;7.446;51.086
109;-254;960;-15.442;6.348;36.316
12;-192;862;-6.714;2.319;15.747
-33;-149;840;2.502;4.089;61
-17;-157;838;13.245;8.850;-7.996
1;-152;848;21.118;12.146;-13.550
5;-145;896;23.804;13.977;-14.771
2;-127;950;22.156;11.353;-9.155
21;-172;972;17.517;3.967;3.784
73;-206;977;9.583;-3.723;14.221
73;-194;908;3.113;-6.287;15.686
91;-203;982;1.953;0;11.963
62;-210;980;4.395;5.676;9.766
67;-199;992;3.845;7.874;10.742
75;-183;979;854;6.592;11.963
70;-133;970;-366;2.014;10.681
44;-110;941;-61;-6.287;8.545
11;-131;891;-1.221;-12.878;6.348
15;-109;889;-1.892;-12.207;-183
30;-112;902;-854;-8.484;-4.944
48;-155;916;-1.099;-5.798;-6.042
79;-163;961;-3.357;-3.662;-8.728
88;-187;980;-5.676;-4.395;-8.240
87;-231;981;-8.545;-7.812;-3.723
69;-252;966;-11.902;-9.766;-122
48;-255;950;-13.367;-8.728;2.930
40;-234;932;-12.573;-6.104;3.784
38;-202;919;-8.911;-3.174;2.014
30;-191;921;-2.380;-1.587;-610
26;-182;928;4.944;-2.258;-6.165
29;-174;947;9.766;-4.333;-12.024
27;-179;954;10.498;-6.348;-14.343
29;-192;954;6.531;-7.690;-15.259
36;-204;954;366;-8.240;-15.625
37;-219;948;-3.967;-7.385;-14.099
37;-226;961;-7.507;-5.737;-11.841
44;-241;958;-11.475;-4.089;-7.141
53;-264;955;-13.489;-2.075;-1.465
46;-289;960;-12.756;-427;2.625
42;-268;952;-10.071;1.526;4.456
45;-253;948;-5.493;4.028;4.272
28;-232;934;0;5.859;2.380
25;-212;934;4.761;6.531;-305
