aX,aY,aZ,gX,gY,gZ
-0.007,-0.092,0.964,-0.549,-1.709,-4.395
0.001,-0.077,0.971,-2.014,-1.343,-3.479
0.001,-0.071,0.975,-2.625,-1.160,-2.563
0.000,-0.068,0.975,-2.808,-1.282,-1.953
0.006,-0.059,0.981,-3.784,-1.099,-1.099
0.008,-0.038,0.980,-5.981,0.122,0.366
0.024,-0.012,0.980,-8.484,1.282,-0.122
0.030,-0.003,0.974,-9.399,1.770,-1.221
0.016,-0.005,0.958,-9.644,2.625,-3.906
0.011,-0.022,0.943,-8.850,2.258,-6.042
0.019,-0.044,0.936,-7.385,0.854,-6.470
0.022,-0.067,0.936,-5.859,-0.549,-6.592
0.029,-0.069,0.949,-4.883,-0.916,-6.226
0.021,-0.068,0.948,-3.235,-0.793,-5.798
0.022,-0.055,0.944,-1.526,-1.038,-5.188
0.028,-0.043,0.946,0.183,-1.770,-5.615
0.029,-0.045,0.952,3.357,-1.953,-6.409
0.012,-0.050,0.946,4.028,-1.221,-6.653
0.013,-0.058,0.939,1.953,0.061,-6.409
0.028,-0.080,0.943,-1.953,1.160,-5.188
0.027,-0.070,0.951,-7.446,2.258,-4.089
0.038,-0.061,0.951,-11.047,4.211,-3.540
0.033,-0.057,0.939,-10.132,4.822,-3.235
0.033,-0.053,0.930,-8.728,3.662,-3.174
0.026,-0.046,0.926,-8.789,2.502,-3.784

0.319,-0.714,-1.640,-84.534,51.880,-18.555
0.321,-0.640,-1.780,-100.281,-21.912,22.400
0.332,-0.539,-1.828,-108.215,-108.154,64.270
0.263,-0.529,-1.675,-97.351,-202.515,101.746
0.166,-0.423,-1.478,-75.562,-294.373,122.375
0.109,-0.215,-0.964,-43.518,-368.225,129.761
0.101,-0.134,-0.203,26.367,-404.724,119.202
0.171,-0.091,0.496,131.897,-420.288,101.990
0.231,-0.088,0.983,242.249,-406.128,76.477
0.253,-0.223,1.356,291.443,-354.431,42.969
0.240,-0.325,1.613,240.112,-274.597,11.047
0.314,-0.331,1.543,118.469,-198.486,-7.568
0.349,-0.304,1.135,-9.705,-149.658,-7.141
0.304,-0.181,0.461,-105.530,-142.212,-0.610
0.683,-0.277,0.327,-164.734,-147.339,8.728
0.733,-0.206,0.049,-199.097,-179.871,24.902
0.626,-0.238,0.093,-188.965,-259.460,43.396
0.165,-0.209,0.282,-137.207,-349.792,76.172
