aX,aY,aZ,gX,gY,gZ
-0.005,0.001,0.959,6.592,-15.564,-5.371
0.005,-0.016,0.971,2.075,-14.893,-4.517
0.015,-0.018,0.986,-0.183,-11.658,-4.883
0.025,-0.018,0.999,0.610,-7.996,-6.470
0.030,-0.018,1.005,4.517,-4.822,-9.521
0.010,-0.015,1.000,9.338,-2.014,-12.573
-0.013,0.001,0.986,11.658,0.305,-14.343
-0.037,0.020,0.974,12.390,1.953,-12.512
-0.040,0.015,0.955,13.367,1.709,-9.155
-0.040,0.022,0.932,13.367,0.244,-4.639
-0.051,0.018,0.916,11.841,-2.197,-0.732
-0.033,0.024,0.922,8.911,-5.554,1.526
-0.010,0.030,0.930,6.653,-9.399,1.038
0.001,0.008,0.956,5.188,-11.902,1.099
0.020,0.003,0.971,3.906,-12.146,0.305
0.023,-0.001,0.983,2.014,-10.071,-0.183
0.017,-0.015,0.989,-0.854,-6.470,-0.183

-0.468,1.216,1.137,53.528,8.606,-183.594
-0.457,1.264,1.144,51.147,19.165,-271.790
-0.344,1.162,1.091,50.659,33.997,-373.108
-0.313,1.031,0.994,56.824,62.683,-479.797
-0.374,0.694,0.972,66.528,103.760,-557.922
-0.308,0.407,0.891,49.500,140.076,-578.186
-0.335,0.219,0.680,3.540,156.860,-542.175
-0.426,0.099,0.394,-32.654,140.564,-488.220
-0.430,0.030,0.265,-37.231,86.914,-458.801
-0.398,-0.042,0.174,-4.456,18.860,-452.515
-0.373,-0.241,0.166,60.608,-34.363,-462.158
-0.492,-0.592,0.447,122.620,-67.688,-477.844
-0.518,-1.004,0.987,147.583,-82.031,-473.022
-0.344,-1.473,1.380,112.793,-77.209,-411.438
-0.200,-1.724,1.585,30.273,-54.504,-288.757
-0.235,-1.696,1.485,-66.467,-25.757,-156.250
-0.425,-1.470,1.244,-121.460,1.831,-70.557
-0.502,-1.206,1.007,-112.549,20.752,-38.452
-0.546,-1.026,0.906,-48.462,24.414,-32.593
-0.574,-0.911,0.879,30.090,8.179,-32.104
-0.551,-0.870,0.945,91.980,-17.273,-25.330
-0.456,-0.745,0.952,119.202,-43.335,-13.550
-0.290,-0.569,0.920,117.676,-65.735,0.854
-0.240,-0.393,0.880,111.023,-80.872,15.259
-0.235,-0.315,0.903,114.319,-85.266,20.081
-0.181,-0.204,0.936,118.225,-79.163,12.817
-0.113,-0.120,0.943,118.713,-67.261,0.916
-0.055,-0.094,0.958,117.554,-50.232,-8.667
-0.031,-0.051,0.979,110.229,-33.081,-16.052
-0.010,-0.008,0.975,94.177,-17.090,-16.296
-0.067,-0.018,0.997,70.190,-4.456,-7.019
-0.146,-0.119,1.005,42.480,1.526,9.705
-0.170,-0.211,0.964,15.564,-4.150,33.508
-0.179,-0.295,0.994,-9.277,-16.907,66.467
-0.198,-0.273,1.000,-41.382,-33.630,108.521
-0.288,-0.140,0.950,-87.341,-50.232,168.884
-0.406,-0.120,0.949,-152.466,-60.181,266.418
-0.283,-0.219,1.029,-220.764,-56.458,388.977
0.028,-0.434,1.051,-257.690,-40.100,484.863
0.253,-0.594,0.999,-255.920,-14.893,508.606
0.280,-0.521,0.845,-223.938,5.981,461.121
0.118,-0.321,0.734,-176.208,18.372,390.076
-0.089,-0.208,0.635,-134.949,28.198,344.788
-0.346,-0.297,0.673,-107.544,40.588,329.285
-0.474,-0.323,0.659,-100.037,46.265,316.895
-0.339,-0.067,0.568,-100.586,33.752,280.334
-0.141,0.361,0.578,-72.205,7.690,225.159
